energy_uj,cpu,commit_hash,repo,branch,workflow,run_id,label,source,cpu_util_avg,duration_us,workflow_name,filter_type,filter_project,filter_machine,filter_tags,lat,lon,city,ip,carbon_intensity_g,carbon_ug,start_time,min_carbon_intensity_g,min_carbon_intensity_time
108825000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804487,13452524771,build pip wheel checkout,github,27.9627,26482747,Build pip wheel with Energy Measurement,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.14.30,490.0,60879,2025-02-21 08:05:48+00:00,463.0,10.0
1446760000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Synchronous tests measurement,github,49.471,275628562,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,172.200.183.145,490.0,787553,2025-02-21 08:01:40+00:00,463.0,10.0
1296010000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Synchronous tests measurement,github,43.5166,260570538,Testing,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.160.165.139,277.0,433338,2025-02-21 08:02:09+00:00,68.0,10.0
1380070000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Synchronous tests measurement,github,52.4427,256310385,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.57.46.42,490.0,749363,2025-02-21 08:03:27+00:00,463.0,10.0
489896000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,62.2412,83534397,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,20.57.79.234,490.0,263881,2025-02-21 08:06:33+00:00,463.0,10.0
1699080000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Synchronous tests measurement,github,44.728,334925585,Testing,machine.ci,CI/CD,ubuntu-latest,[],37.3388,-121.8916,San Jose,52.234.33.231,277.0,566205,2025-02-21 08:02:24+00:00,68.0,10.0
1455770000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Synchronous tests measurement,github,50.2234,275442510,Testing,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.55.47.18,490.0,791914,2025-02-21 08:04:15+00:00,463.0,10.0
3443690000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13452509428,Python long tests measurement,github,49.0104,657996594,Testing,machine.ci,CI/CD,ubuntu-latest,[],33.4532,-112.0748,Phoenix,20.169.0.198,260.0,1083095,2025-02-21 08:00:59+00:00,147.0,13.0
3497140000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804499,13450646027,Python long tests measurement,github,48.4858,673614835,Testing,machine.ci,CI/CD,ubuntu-latest,[],36.6676,-78.3875,Boydton,172.200.181.135,490.0,1905788,2025-02-21 08:01:49+00:00,463.0,10.0
3376870000,EPYC_7763,95a16975bee025a833ff397f32f4d343b3cc47b4,DaxLynch/cve-bin-tool,main,138804488,13448131615,Perform CodeQL Analysis,github,34.1344,756587034,CodeQL,machine.ci,CI/CD,ubuntu-latest,[],38.7095,-78.1539,Washington,20.42.49.81,490.0,1870531,2025-02-21 08:06:31+00:00,463.0,10.0
